# Stack: robot|Calibration (frames=51, fps=50.000)
time=0.000000s frame=0 bone=RR_hip_joint angle_deg=-60.000140
time=0.000000s frame=0 bone=RR_thigh_joint angle_deg=-30.000070
time=0.000000s frame=0 bone=RR_calf_joint angle_deg=-155.999219
time=0.000000s frame=0 bone=RL_hip_joint angle_deg=-60.000140
time=0.000000s frame=0 bone=RL_thigh_joint angle_deg=-30.000070
time=0.000000s frame=0 bone=RL_calf_joint angle_deg=-155.999219
time=0.000000s frame=0 bone=FR_hip_joint angle_deg=-60.000140
time=0.000000s frame=0 bone=FR_thigh_joint angle_deg=-90.000210
time=0.000000s frame=0 bone=FR_calf_joint angle_deg=-155.999219
time=0.000000s frame=0 bone=FL_hip_joint angle_deg=-60.000140
time=0.000000s frame=0 bone=FL_thigh_joint angle_deg=-90.000210
time=0.000000s frame=0 bone=FL_calf_joint angle_deg=-155.999219
time=0.020000s frame=1 bone=RR_hip_joint angle_deg=-59.858066
time=0.020000s frame=1 bone=RR_thigh_joint angle_deg=-29.656717
time=0.020000s frame=1 bone=RR_calf_joint angle_deg=-155.871350
time=0.020000s frame=1 bone=RL_hip_joint angle_deg=-59.858056
time=0.020000s frame=1 bone=RL_thigh_joint angle_deg=-29.656723
time=0.020000s frame=1 bone=RL_calf_joint angle_deg=-155.871365
time=0.020000s frame=1 bone=FR_hip_joint angle_deg=-59.858066
time=0.020000s frame=1 bone=FR_thigh_joint angle_deg=-89.654076
time=0.020000s frame=1 bone=FR_calf_joint angle_deg=-155.871365
time=0.020000s frame=1 bone=FL_hip_joint angle_deg=-59.858056
time=0.020000s frame=1 bone=FL_thigh_joint angle_deg=-89.655389
time=0.020000s frame=1 bone=FL_calf_joint angle_deg=-155.871350
time=0.040000s frame=2 bone=RR_hip_joint angle_deg=-59.439498
time=0.040000s frame=2 bone=RR_thigh_joint angle_deg=-28.645166
time=0.040000s frame=2 bone=RR_calf_joint angle_deg=-155.494656
time=0.040000s frame=2 bone=RL_hip_joint angle_deg=-59.439502
time=0.040000s frame=2 bone=RL_thigh_joint angle_deg=-28.645185
time=0.040000s frame=2 bone=RL_calf_joint angle_deg=-155.494672
time=0.040000s frame=2 bone=FR_hip_joint angle_deg=-59.439498
time=0.040000s frame=2 bone=FR_thigh_joint angle_deg=-88.642520
time=0.040000s frame=2 bone=FR_calf_joint angle_deg=-155.494657
time=0.040000s frame=2 bone=FL_hip_joint angle_deg=-59.439502
time=0.040000s frame=2 bone=FL_thigh_joint angle_deg=-88.643836
time=0.040000s frame=2 bone=FL_calf_joint angle_deg=-155.494657
time=0.060000s frame=3 bone=RR_hip_joint angle_deg=-58.755986
time=0.060000s frame=3 bone=RR_thigh_joint angle_deg=-26.993326
time=0.060000s frame=3 bone=RR_calf_joint angle_deg=-154.879483
time=0.060000s frame=3 bone=RL_hip_joint angle_deg=-58.755984
time=0.060000s frame=3 bone=RL_thigh_joint angle_deg=-26.993324
time=0.060000s frame=3 bone=RL_calf_joint angle_deg=-154.879498
time=0.060000s frame=3 bone=FR_hip_joint angle_deg=-58.755986
time=0.060000s frame=3 bone=FR_thigh_joint angle_deg=-86.990638
time=0.060000s frame=3 bone=FR_calf_joint angle_deg=-154.879499
time=0.060000s frame=3 bone=FL_hip_joint angle_deg=-58.755984
time=0.060000s frame=3 bone=FL_thigh_joint angle_deg=-86.991968
time=0.060000s frame=3 bone=FL_calf_joint angle_deg=-154.879483
time=0.080000s frame=4 bone=RR_hip_joint angle_deg=-57.819020
time=0.080000s frame=4 bone=RR_thigh_joint angle_deg=-24.728967
time=0.080000s frame=4 bone=RR_calf_joint angle_deg=-154.036221
time=0.080000s frame=4 bone=RL_hip_joint angle_deg=-57.819013
time=0.080000s frame=4 bone=RL_thigh_joint angle_deg=-24.728971
time=0.080000s frame=4 bone=RL_calf_joint angle_deg=-154.036236
time=0.080000s frame=4 bone=FR_hip_joint angle_deg=-57.819020
time=0.080000s frame=4 bone=FR_thigh_joint angle_deg=-84.726269
